"X","PLOT_ID","期数","副总体","样地号","新样地号","市","县","省","x","y","经度_F","纬度_F","针叶","阔叶","sz1","psz1","sz2","psz2","sz3","psz3","硬阔","软阔","森林类型65","二级森林类型65","样地面积","Dmax","Dmin","Dg","N_ha","AGE","BA","V_ha","S","aSDI","bio_plot","Bio","Car_1_plot","Car_1_ha","Car_2_plot","Car_2_ha","Car_3_plot","Car_3_ha","起源","优势树种","龄组","平均胸径","H","郁闭度","地貌","海拔","坡向","坡位","坡度","土壤名称","土层厚度","腐殖层","枯枝落叶","地类","样地类别","林种","植被类型","森林群落","林层结构","树种结构","自然度","可及度","经营等级","灾害类型","活立蓄积","林木蓄积","散生蓄积","四旁蓄积","枯损蓄积","采伐蓄积","name","分区","Plot","ID","code"
12729,6100004376,8,6100,4376,"4376",6109,610923,61,19279910,3744044,108.623492204,33.8002398909,9,91,410,62,490,12,420,11,85,6,"阔叶混","栎类阔叶混",0.08,56.9,5.1,22.6347246392279,988,44,39.735384208887,268.95,1205.08594815374,1085.87838588909,30139.1318927335,376.739148659169,16935.6346593519,211695.433241899,14505.88864392,181323.608049,14507.1241554449,181339.051943061,11,620,3,225,13.4,70,3,1760,4,4,38,112,20,8,5,111,11,112,121,1,0,7,2,0,0,0,21.516,21.516,0,0,0.029,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",12,6100004376,1
19778,6220003040,9,6220,3040,"3040",6205,620502,62,18582069,3777981,105.889639915,34.1258713367,7,93,410,46,490,34,210,7,84,9,"阔叶混","栎类阔叶混",0.08,36,5.1,15.0952154912163,2238,45,40.0434566384796,218.8125,1424.76764172976,1357.09229727973,19073.3316614232,238.416645767791,10707.9730667622,133849.663334528,9192.12449638625,114901.556204828,9191.28153062506,114891.019132813,11,620,2,152,10,80,3,1829,2,1,40,122,40,4,3,111,11,111,121,1,0,7,3,0,0,0,17.505,17.505,0,0,0.356,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",13,6220003040,1
7505,6100004915,7,6100,4915,"4915",6109,610923,61,19255986,3703955,108.470225383,33.435331617,18,82,410,35,490,30,210,18,69,13,"阔叶混","栎类阔叶混",0.08,79,5.3,18.7932761085117,1488,60,41.2621491511464,262.075,1346.55405382761,1199.369686388,28496.1864784505,356.202330980632,15884.4599741835,198555.749677294,13773.5821172436,172169.776465546,13767.6394040183,172095.492550229,11,620,4,206,17.3,70,3,1790,4,3,30,111,35,8,5,111,11,112,121,2,0,7,4,0,0,0,20.966,20.966,0,0,1.162,1.027,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",14,6100004915,1
3203,6220002894,6,6220,2894,"2894",6205,620503,62,18615041,3795932,106.249382515,34.2845522746,0,100,410,56,490,35,510,6,91,9,"阔叶混","栎类阔叶混",0.08,42.5,5.2,21.2669059884737,1162,68,41.294429015662,254.4125,1282.38492654182,1214.51552102084,28342.0532148746,354.275665185933,16123.696973778,201546.212172225,13549.2840757357,169366.050946696,13554.6885822521,169433.607278151,11,490,3,187,13.8,70,3,1852,6,3,35,7,45,0,0,111,11,124,0,0,0,0,0,0,0,0,20.353,20.353,0,0,0,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",15,6220002894,1
13484,6220002760,8,6220,2760,"2760",6205,620503,62,18614107,3811050,106.369688841,34.4184020707,24,76,410,32,490,30,210,17,62,14,"阔叶混","栎类阔叶混",0.08,38.9,7.5,16.8632031839038,2312,63,51.6477930424932,284.1125,1758.22116475478,1696.90290811984,28284.0651789705,353.550814737131,15693.3254866067,196166.568582584,13733.7010888402,171671.263610503,13728.1264386897,171601.580483621,11,620,3,194,13.5,80,3,1905,3,2,38,112,30,5,2,111,11,112,121,1,0,7,3,2,0,11,22.729,22.729,0,0,0.089,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",16,6220002760,1
7473,6100004737,7,6100,4737,"4737",6109,610923,61,19276082,3716043,108.437625135,33.5436321682,8,92,410,59,490,26,210,8,85,7,"阔叶混","栎类阔叶混",0.08,66,5.1,19.6395264708699,1250,45,37.8670888752741,250.625,1214.0376201236,1059.89708182503,29021.982891988,362.77478614985,16533.9959136178,206674.948920223,13974.9510815756,174686.888519695,13973.5677167497,174669.596459371,11,490,3,129,12.9,70,3,1600,3,2,46,112,25,2,3,111,11,111,121,1,0,7,4,0,0,0,20.05,20.05,0,0,0.086,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",17,6100004737,1
8035,6220002793,7,6220,2793,"2793",6205,620503,62,18635026,3807927,106.434303681,34.3907824987,2,98,410,50,490,37,590,9,87,11,"阔叶混","栎类阔叶混",0.08,48.4,5.1,22.6209177765322,950,82,38.179824606462,246.9875,1157.60226323169,1061.39743898816,28229.8368720201,352.872960900251,16044.6424352133,200558.030440166,13528.0820104909,169101.025131137,13532.0051705824,169150.06463228,11,620,4,226,17.1,90,3,1800,7,4,41,122,45,3,2,111,11,112,121,1,0,7,3,0,0,0,19.759,19.759,0,0,0.335,0.367,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",18,6220002793,1
8101,6220002894,7,6220,2894,"2894",6205,620503,62,18615041,3795932,106.249382515,34.2845522746,0,100,410,56,490,35,510,6,91,9,"阔叶混","栎类阔叶混",0.08,42.7,5,21.5490534489442,1100,73,40.1179712892319,249.5625,1239.91467600274,1166.90988496661,27933.4847761634,349.168559702042,15889.4624357566,198618.280446958,13353.1444544041,166914.305680051,13358.4260961813,166980.326202266,11,620,3,216,14.8,70,3,1852,6,3,35,112,45,3,2,111,11,127,121,2,0,7,2,0,0,0,19.965,19.965,0,0,1.377,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",19,6220002894,1
17431,410001803,9,410,1803,"1803",4103,410325,41,19591736,3731933,111.98960786,33.709987259,18,82,410,39,460,23,200,18,79,3,"阔叶混","栎类阔叶混",0.08,60,5.1,20.5526455015748,1212,54,40.2260224415613,253.0125,1266.19964020301,1124.34968434144,27536.7942103022,344.209927628777,15167.1690943539,189589.613679423,13298.6503755596,166233.129694495,13300.1130641573,166251.413301966,13,620,2,221,13.8,85,3,1980,5,2,35,113,60,5,4,111,11,127,121,1,0,7,3,0,0,0,20.241,20.241,0,0,0.302,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",20,410001803,1
12912,6100004915,8,6100,4915,"4915",6109,610923,61,19255986,3703955,108.470225383,33.435331617,21,79,410,52,210,21,510,14,65,14,"阔叶混","栎类阔叶混",0.08,72.1,5.1,19.0299856537597,1412,64,40.1749421085094,259.575,1303.70785854475,1169.09124942451,27009.0212852349,337.612766065436,15012.8591509679,187660.739387099,13025.9492828409,162824.366035511,13015.4182272072,162692.72784009,11,620,5,211,17.7,73,3,1790,4,3,30,111,35,8,5,111,11,112,121,2,0,7,2,0,0,0,20.766,20.766,0,0,1.272,0.369,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",21,6100004915,1
16251,1400024313,9,1400,24313,"24313",1405,140522,14,19610062,3905865,112.209697883,35.2758264121,14,86,410,57,420,21,210,14,86,0,"阔叶混","栎类阔叶混",0.067,56.3,5,17.1974265947403,1612,96,37.4425797026627,162.334328358209,1265.1171840173,1073.27003542936,22593.8384577958,337.221469519341,12617.4091140223,188319.539015258,10941.3086182112,163303.113704645,10935.8270223068,163221.298840401,11,620,4,190,8.7,85,3,1600,8,1,28,122,56,0,8,111,11,112,121,2,0,7,2,0,0,0,10.876,10.876,0,0,0.048,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",22,1400024313,1
8067,6220002848,7,6220,2848,"2848",6205,620503,62,18638031,3801967,106.435257762,34.3364454805,9,91,410,49,490,30,510,10,79,12,"阔叶混","栎类阔叶混",0.08,38,5,18.3689481891522,1650,83,43.7262671664666,254.575,1439.41520292424,1365.27877544209,26875.6274988938,335.945343736173,15156.733170981,189459.164637263,12889.539436331,161119.242954138,12888.7166228254,161108.957785317,11,620,4,186,14.7,90,3,1554,8,2,40,122,30,5,3,111,11,112,121,1,0,7,3,0,0,0,20.366,20.366,0,0,0.529,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",23,6220002848,1
19573,6220002741,9,6220,2741,"2741",6205,620503,62,18619933,3814010,106.371892478,34.4454275957,0,100,410,64,490,13,530,7,81,19,"阔叶混","栎类阔叶混",0.08,47.5,6.2,19.7762565360749,1550,67,47.6112686341432,299.825,1522.26343222362,1387.84730684078,26833.3271314208,335.41658914276,14826.6663343746,185333.329179682,12788.9338806448,159861.673508059,12792.7139236315,159908.924045394,11,620,3,196,13.6,70,3,1809,3,2,40,113,45,3,2,111,11,112,121,1,0,7,3,0,0,0,23.986,23.986,0,0,0.507,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",24,6220002741,1
19685,6220002894,9,6220,2894,"2894",6205,620503,62,18615041,3795932,106.249382515,34.2845522746,0,100,410,54,490,37,510,6,91,9,"阔叶混","栎类阔叶混",0.08,48.9,5.2,22.4905021769645,1162,77,46.1828944468034,292.3625,1402.85125498402,1316.00890676945,26423.9011216792,330.29876402099,14983.0108847973,187287.636059966,12629.7808579714,157872.260724642,12634.0323247377,157925.404059221,11,620,3,230,14.6,70,3,1910,6,3,35,113,40,3,2,111,11,127,121,1,0,7,2,0,0,0,23.389,23.389,0,0,0,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",25,6220002894,1
19610,6220002793,9,6220,2793,"2793",6205,620503,62,18635026,3807927,106.434303681,34.3907824987,2,98,410,45,490,45,590,6,90,8,"阔叶混","栎类阔叶混",0.08,54.5,5,25.1630768147023,862,68,42.8920172373058,285.2,1246.17757225517,1147.43789084948,26215.1645697504,327.689557121881,14905.7100885297,186321.376106621,12573.8256829732,157172.821037165,12576.3778660916,157204.723326145,11,620,3,244,17.7,70,3,1825,7,4,41,113,45,4,3,111,11,112,121,1,0,7,3,0,0,0,22.816,21.083,1.733,0,0.094,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",26,6220002793,1
7327,6100004376,7,6100,4376,"4376",6109,610923,61,19279910,3744044,108.623492204,33.8002398909,7,93,410,59,490,28,200,6,87,6,"阔叶混","栎类阔叶混",0.08,54.8,6,22.7382545323532,912,45,37.0541625062496,251.0625,1120.56454923965,1021.07902527228,28245.0724719007,353.063405898759,16090.1713274637,201127.141593297,13572.7719326035,169659.649157544,13575.9233069553,169699.041336941,11,630,3,237,13.8,70,3,1760,4,4,38,112,20,8,5,111,11,112,121,2,0,7,4,0,0,0,20.085,20.085,0,0,0,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",27,6100004376,1
2628,6100004737,6,6100,4737,"4737",6109,610923,61,19276082,3716043,108.437625135,33.5436321682,8,92,410,59,490,26,210,8,85,7,"阔叶混","栎类阔叶混",0.08,65.5,5.2,19.3994172929072,1150,70,33.9910900340455,224.45,1095.07921721357,959.838887407492,25708.0620364806,321.350775456007,14650.2588355544,183128.235444429,12382.9010585694,154786.263232118,12381.4178313951,154767.722892439,11,410,5,215,14.1,70,3,1600,3,2,39,8,2,0,0,111,11,233,0,0,1,0,0,2,0,0,17.956,17.956,0,0,0.656,0.739,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",28,6100004737,1
3169,6220002848,6,6220,2848,"2848",6205,620503,62,18638031,3801967,106.435257762,34.3364454805,9,91,410,50,490,29,510,11,79,12,"阔叶混","栎类阔叶混",0.08,37.3,5.5,18.2374871487275,1600,78,41.7964947916138,241.95,1379.79848195364,1312.55903798383,25476.450493535,318.455631169187,14376.05817288,179700.727161,12217.0908495509,152713.635619387,12216.3511565345,152704.389456681,11,620,3,186,14.7,90,3,1554,8,2,40,8,30,0,0,111,11,117,0,0,0,0,0,0,0,0,19.356,19.356,0,0,0.67,0.831,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",29,6220002848,1
3112,6220002741,6,6220,2741,"2741",6205,620503,62,18619933,3814010,106.371892478,34.4454275957,0,100,410,62,490,15,530,7,81,19,"阔叶混","栎类阔叶混",0.08,44.1,5.1,17.4018515132794,1662,58,39.540526924548,238.725,1329.33239214476,1216.11115876509,25444.7532145188,318.059415181485,14168.3050079891,177103.812599864,12140.1667482968,151752.08435371,12145.1642817721,151814.553522152,11,620,2,173,13.5,70,3,1827,3,2,40,8,45,0,0,111,11,117,0,0,0,0,0,0,0,0,19.098,19.098,0,0,0.489,0.044,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",30,6220002741,1
18656,6100004229,9,6100,4229,"4229",6101,610124,61,19243734,3756096,108.229734937,33.9006279818,17,83,410,44,210,17,535,11,57,26,"阔叶混","栎类阔叶混",0.08,54.6,5.2,19.9827563278622,1362,60,42.7304215651868,278.875,1360.1157496299,1247.39539575026,25335.5935173821,316.694918967276,13859.4459233916,173243.074042395,12212.9460967407,152661.826209258,12209.4271807275,152617.839759094,11,630,3,214,15.7,70,3,2085,2,3,32,113,60,20,10,111,11,111,113,1,0,6,2,0,0,12,22.31,22.31,0,0,0,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",31,6100004229,1
13580,6220002899,8,6220,2899,"2899",6205,620503,62,18630021,3795928,106.412028577,34.2827496758,9,91,410,58,590,29,210,9,62,29,"阔叶混","栎类阔叶混",0.08,48,5.8,21.2945583256783,1050,56,37.3952511111361,241.1875,1161.20077755293,1050.58217077114,25324.5373543915,316.556716929894,13941.3167070118,174266.458837648,12179.6174775619,152245.218469524,12176.738637599,152209.232969988,11,410,2,268,14.6,70,3,1560,8,4,35,122,60,2,3,111,11,125,121,1,0,4,3,2,0,0,19.295,19.295,0,0,0.178,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",32,6220002899,1
3377,6220003641,6,6220,3641,"3641",6210,621024,62,19290041,4029968,108.627523981,36.3497216021,0,100,410,55,590,41,530,4,55,45,"阔叶混","栎类阔叶混",0.08,108.5,7.3,25.1275678621443,562,47,27.8941619013156,117.225,810.633695614816,687.493032623828,25190.2346355075,314.877932943844,13845.7021732385,173071.277165481,12033.9043534113,150423.804417642,12039.7277780876,150496.597226095,11,590,4,313,11.9,40,3,1480,8,4,30,9,65,0,0,111,11,117,0,0,0,0,0,0,0,0,9.378,9.378,0,0,0,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",33,6220003641,1
18923,6100004794,9,6100,4794,"4794",6109,610923,61,19255950,3712000,108.203325633,33.5015831806,0,100,410,57,490,28,420,14,99,1,"阔叶混","栎类阔叶混",0.08,62.8,5,20.0305064957477,1050,55,33.0874305421945,217.5375,1052.57173944092,916.537622020275,25183.7956908813,314.797446136016,14174.3007631413,177178.759539266,12106.5945613695,151332.432017118,12106.3222648927,151329.028311159,11,620,4,200,17.3,80,3,1580,2,4,35,113,80,20,5,111,11,112,121,1,0,7,3,0,0,0,17.403,17.403,0,0,0.242,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",34,6100004794,1
19648,6220002848,9,6220,2848,"2848",6205,620503,62,18638031,3801967,106.435257762,34.3364454805,5,95,410,50,490,32,510,10,82,13,"阔叶混","栎类阔叶混",0.08,41.2,6,20.0137824411905,1512,91,47.58210090985,284.475,1513.6726824313,1442.88700337575,25135.1061792292,314.188827240365,14111.4454984464,176393.068730579,12019.7740586474,150247.175733093,12020.3424155491,150254.280194364,11,620,4,203,14.3,80,3,1578,8,2,40,122,31,4,3,111,11,112,121,1,0,7,3,0,0,0,22.758,22.758,0,0,2.587,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",35,6220002848,1
19587,6220002760,9,6220,2760,"2760",6205,620503,62,18614107,3811050,106.369688841,34.4184020707,26,74,410,30,490,30,210,18,60,14,"阔叶混","栎类阔叶混",0.08,39.2,7.6,17.3568365574173,2225,68,52.64547451198,292.1875,1772.25880778418,1712.23146897087,25087.3778865752,313.592223582191,13846.7987608515,173084.984510644,12224.3910213293,152804.887766616,12216.4426016251,152705.532520314,11,620,3,192,13.6,80,3,1905,3,2,38,113,30,5,2,111,11,112,121,1,0,7,3,0,0,0,23.375,23.375,0,0,0.654,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",36,6220002760,1
18863,6100004616,9,6100,4616,"4616",6107,610730,61,18763994,3723943,107.844132309,33.6092001031,33,67,410,46,200,24,130,9,56,11,"阔叶混","栎类阔叶混",0.08,61,5,20.6067526751294,1075,40,35.8523364191418,252.1875,1127.82226208377,1021.34437502265,24212.9636032669,302.662045040836,13198.0819041758,164976.023802197,11826.2559805189,147828.199756486,11823.2104565512,147790.13070689,11,490,4,295,8.1,50,3,1520,7,3,35,113,40,3,1,111,11,127,121,2,0,4,2,0,0,0,20.175,20.175,0,0,0.033,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",37,6100004616,1
13606,6220002933,8,6220,2933,"2933",6205,620502,62,18585083,3789890,106.476809975,34.2551878647,0,100,410,55,490,24,590,18,81,19,"阔叶混","栎类阔叶混",0.08,32.7,5.2,17.3550477141211,1725,58,40.8066182163759,229.975,1373.77112770153,1322.4620513259,23877.5283474398,298.469104342997,13396.2451451193,167453.064313992,11414.6932815851,142683.666019814,11420.9958249818,142762.447812272,11,620,2,173,12.3,80,3,1900,4,2,42,112,40,3,2,111,11,111,121,1,0,7,3,2,0,0,18.398,18.398,0,0,1.058,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",38,6220002933,1
6003,410001101,7,410,1101,"1101",4112,411224,41,19488034,3735822,110.870855237,33.7489460545,1,99,410,56,490,43,200,1,99,0,"阔叶混","栎类阔叶混",0.08,60,5.5,17.495656102477,1425,30,34.2582530368022,197.3375,1149.64762415877,1049.61750010117,23866.9953743212,298.337442179014,13739.6531382314,171745.664227893,11455.9183371505,143198.979214381,11460.7831961365,143259.789951707,11,620,1,157,14.3,90,3,1309,4,2,33,112,30,10,10,111,11,111,121,2,0,7,2,0,0,0,15.787,15.787,0,0,0.581,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",39,410001101,1
13613,6220002943,8,6220,2943,"2943",6205,620503,62,18615034,3789935,106.019105127,34.2328230111,3,97,410,47,490,42,530,5,90,7,"阔叶混","栎类阔叶混",0.08,45.3,6.4,17.5985842233592,1500,77,36.4868694128276,215.7,1221.60239133653,1139.8235940443,23514.5189964015,293.931487455019,13390.0978014533,167376.222518166,11285.2101328332,141065.126660415,11289.2114083938,141115.142604922,11,620,3,175,12,70,3,1917,6,2,25,112,50,5,3,111,11,111,121,1,0,7,3,2,0,0,17.256,17.256,0,0,0,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",40,6220002943,1
11553,410001803,8,410,1803,"1803",4103,410325,41,19591736,3731933,111.98960786,33.709987259,17,83,410,38,460,24,210,17,79,4,"阔叶混","栎类阔叶混",0.08,58.8,5.1,18.9975496631509,1288,51,36.4949099265254,223.975,1185.96630299882,1050.48332206192,23405.5261603334,292.569077004168,12881.5257597422,161019.071996778,11291.2733105238,141140.916381547,11283.2860542871,141041.075678588,13,620,4,216,14.9,85,3,1980,5,2,43,112,60,5,6,111,11,127,121,1,0,7,2,0,0,0,17.918,17.918,0,0,0.827,0.049,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",41,410001803,1
12891,6100004794,8,6100,4794,"4794",6109,610923,61,19255950,3712000,108.203325633,33.5015831806,5,95,410,42,490,37,420,14,93,2,"阔叶混","栎类阔叶混",0.08,61.4,5.3,20.3600704206166,962,50,31.3364049718539,207.7875,989.948647511339,872.458193639906,23280.0287232528,291.00035904066,13062.1351902486,163276.689878107,11224.9392563658,140311.740704573,11220.8310960619,140260.388700774,11,410,3,282,17.2,80,3,1580,2,4,35,112,80,20,5,111,11,112,121,2,0,7,3,0,0,0,16.623,16.623,0,0,0.18,0,"黄土高原暖温带西北部半干旱草原区东南部半湿润森林草","分区6",42,6100004794,1
